:DATE 20230810 01:23:24
:VERSION 2
:CONTENT FULL
:ENC
1U318200.000,20210923,1,,,,20.0000000000,118.0000000000,21.0000000000,119.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
1U318210.000,20210917,1,20230520,4,,21.0000000000,118.0000000000,22.0000000000,119.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
1U318220.000,20211207,1,20230210,8,,22.0000000000,118.0000000000,23.0000000000,119.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
1U319200.000,20210923,1,20230626,2,,20.0000000000,119.0000000000,21.0000000000,120.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
1U319210.000,20230408,2,,,,21.0000000000,119.0000000000,22.0000000000,120.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,4,,
1U319220.000,20210815,1,20230731,28,,22.0000000000,119.0000000000,23.0000000000,120.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
1U319230.000,20230403,2,20230731,5,,23.0000000000,119.0000000000,24.0000000000,120.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,26,,
1U319240.000,20220929,4,20230718,10,,24.0000000000,119.0000000000,25.0000000000,120.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,29,,
1U320200.000,20230408,2,,,,20.0000000000,120.0000000000,21.0000000000,121.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,
1U320210.000,20230408,2,,,,21.0000000000,120.0000000000,22.0000000000,121.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,7,,
1U320220.000,20211010,1,20230801,10,,22.0000000000,120.0000000000,23.0000000000,121.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
1U320230.000,20230408,3,20230717,2,,23.0000000000,120.0000000000,24.0000000000,121.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,17,,
1U320240.000,20230429,3,20230718,4,,24.0000000000,120.0000000000,25.0000000000,121.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,10,,
1U320250.000,20230521,2,20230630,1,,25.0000000000,120.0000000000,26.0000000000,121.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,21,,
1U321210.000,20210602,1,20230801,23,,21.0000000000,121.0000000000,22.0000000000,122.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
1U321220.000,20210625,1,20230801,26,,22.0000000000,121.0000000000,23.0000000000,122.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
1U321230.000,20210514,1,20220830,5,,23.0000000000,121.0000000000,24.0000000000,122.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
1U321240.000,20210831,2,20230203,6,,24.0000000000,121.0000000000,25.0000000000,122.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,1,,
1U321250.000,20210729,1,20230801,30,,25.0000000000,121.0000000000,26.0000000000,122.0000000000,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
